ï»¿First Name,Last Name,Date of Birth,Email,Identification Number,Password,Address,Phone Number,Checking Account Number,Savings Account Number,Credit Account Number,Checking Starting Balance,Savings Starting Balance,Credit Starting Balance,Credit Max
C,3PO,8-May-70,C3PO@disney.com,100,Password149,"538 W. University Ave, El Paso, TX 79968",(915) 747-5038,1099,2099,3099,1516.58,3906.77,-1349.54,3728
Daniel,A,4-Apr-61,DanielA@disney.com,63,Password112,"501 W. University Ave, El Paso, TX 79968",(915) 747-5001,1062,2062,3062,1340.62,1077.89,-282.62,4016
Sean,Aguilar,7-Jan-29,SeanAguilar@disney.com,37,Password86,"1314 Disneyland Dr, Anaheim, CA 92802",(714) 781-4637,1036,2036,3036,1943.87,3312.98,-340.56,5371
Jafar,Aladdin,29-Dec-72,JafarAladdin@disney.com,18,Password67,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1017,2017,3017,794.88,1326.96,-1582.11,9683
Aaron,Alarcon,16-Oct-65,AaronAlarcon@disney.com,38,Password87,"1315 Disneyland Dr, Anaheim, CA 92802",(714) 781-4638,1037,2037,3037,709.44,1053.42,-1343.96,9756
Bryant,Allsup,24-Oct-65,BryantAllsup@disney.com,39,Password88,"1316 Disneyland Dr, Anaheim, CA 92802",(714) 781-4639,1038,2038,3038,1340.54,2903.33,-1198.99,8094
Captain,America,2-Nov-37,CaptainAmerica@disney.com,92,Password141,"530 W. University Ave, El Paso, TX 79968",(915) 747-5030,1091,2091,3091,579.94,276.9,-1393.02,9141
Nathan,Aun,12-Feb-13,NathanAun@disney.com,40,Password89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1039,2039,3039,1386.84,49.46,-262.72,3510
Daniel,B,3-Oct-55,DanielB@disney.com,64,Password113,"502 W. University Ave, El Paso, TX 79968",(915) 747-5002,1063,2063,3063,1254.89,1138.63,-2.39,8692
William,Basquez,23-Mar-53,WilliamBasquez@disney.com,41,Password90,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1040,2040,3040,1152.23,2043.12,-1110.15,3759
Tinker,Bell,18-Nov-31,TinkerBell@disney.com,88,Password137,"526 W. University Ave, El Paso, TX 79968",(915) 747-5026,1087,2087,3087,574.82,1282.65,-1342.2,6507
Daniel,C,14-Mar-70,DanielC@disney.com,65,Password114,"503 W. University Ave, El Paso, TX 79968",(915) 747-5003,1064,2064,3064,526.75,769.89,-1328.78,3954
